Scotland,p2011
S00090793,117
S00090794,170
S00090795,54
S00090796,74
S00090797,141
S00090798,59
S00090799,100
S00090800,94
S00090801,121
S00090802,173
S00090803,230
S00090804,131
S00090805,105
S00090806,110
S00090807,228
S00090808,134
S00090809,57
S00090810,116
S00090811,147
S00090812,172
S00090813,55
S00090814,91
S00090815,60
S00090816,229
S00090817,95
S00090818,134
S00090819,77
S00090820,176
S00090821,154
S00090822,122
S00090823,153
S00090824,133
S00090825,244
S00090826,90
S00090827,118
S00090828,81
S00090829,210
S00090830,81
S00090831,122
S00090832,53
S00090833,67
S00090834,75
S00090835,107
S00090836,70
S00090837,155
S00090838,101
S00090839,83
S00090840,200
S00090841,128
S00090842,58
S00090843,156
S00090844,174
S00090845,137
S00090846,173
S00090847,122
S00090848,139
S00090849,145
S00090850,114
S00090851,123
S00090852,102
S00090853,109
S00090854,113
S00090855,203
S00090856,127
S00090857,82
S00090858,101
S00090859,129
S00090860,55
S00090861,66
S00090862,147
S00090863,161
S00090864,136
S00090865,144
S00090866,189
S00090867,145
S00090868,83
S00090869,134
S00090870,131
S00090871,119
S00090872,58
S00090873,117
S00090874,78
S00090875,76
S00090876,237
S00090877,83
S00090878,109
S00090879,106
S00090880,89
S00090881,66
S00090882,137
S00090883,181
S00090884,165
S00090885,111
S00090886,234
S00090887,118
S00090888,95
S00090889,134
S00090890,124
S00090891,172
S00090892,74
S00090893,104
S00090894,121
S00090895,91
S00090896,154
S00090897,72
S00090898,88
S00090899,172
S00090900,131
S00090901,81
S00090902,67
S00090903,53
S00090904,214
S00090905,91
S00090906,90
S00090907,65
S00090908,97
S00090909,152
S00090910,147
S00090911,126
S00090912,133
S00090913,86
S00090914,180
S00090915,112
S00090916,195
S00090917,100
S00090918,73
S00090919,114
S00090920,100
S00090921,116
S00090922,114
S00090923,136
S00090924,223
S00090925,166
S00090926,99
S00090927,105
S00090928,136
S00090929,183
S00090930,147
S00090931,204
S00090932,106
S00090933,160
S00090934,175
S00090935,122
S00090936,140
S00090937,165
S00090938,143
S00090939,105
S00090940,76
S00090941,162
S00090942,136
S00090943,127
S00090944,82
S00090945,106
S00090946,156
