code,p2001
60QA001506,57
60QA001507,162
60QA001508,51
60QA001509,73
60QA001510,109
60QA001511,106
60QA001512,76
60QA001513,57
60QA001514,88
60QA001515,62
60QA001516,109
60QA001517,107
60QA001518,94
60QA001519,93
60QA001520,140
60QA001521,132
60QA001522,130
60QA001523,133
60QA001524,100
60QA001525,104
60QA001526,65
60QA001527,71
60QA001528,87
60QA001529,80
60QA001530,87
60QA001531,87
60QA001532,54
60QA001533,82
60QA001534,65
60QA001535,117
60QA001536,74
60QA001537,73
60QA001538,71
60QA001539,148
60QA001540,295
60QA001541,105
60QA001542,109
60QA001543,142
60QA001544,79
60QA001545,112
60QA001546,84
60QA001547,103
60QA001548,111
60QA001549,104
60QA001550,81
60QA001551,159
60QA001552,60
60QA001553,156
60QA001554,63
60QA001555,113
60QA001556,77
60QA001557,105
60QA001558,119
60QA001559,142
60QA001560,86
60QA001561,54
60QA001562,61
60QA001563,71
60QA001564,111
60QA001565,77
60QA001566,90
60QA001567,57
60QA001568,80
60QA001569,81
60QA001570,131
60QA001571,67
60QA001572,95
60QA001573,133
60QA001574,121
60QA001575,108
60QA001576,104
60QA001577,88
60QA001578,114
60QA001579,86
60QA001580,57
60QA001581,129
60QA001582,53
60QA001583,61
60QA001584,138
60QA001585,182
60QA001586,105
60QA001587,103
60QA001588,161
60QA001589,84
60QA001590,61
60QA001591,93
60QA001592,152
60QA001593,123
60QA001594,128
60QA001595,77
60QA001596,138
60QA001597,130
60QA001598,71
60QA001599,116
60QA001600,172
60QA001601,76
60QA001602,89
60QA001603,52
60QA001604,110
60QA001605,178
60QA001606,134
60QA001607,165
60QA001608,188
60QA001609,203
60QA001610,188
60QA001611,98
60QA001612,107
60QA001613,83
60QA001614,85
60QA001615,97
60QA001616,110
60QA001617,75
60QA001618,129
60QA001619,50
60QA001620,88
60QA001621,86
60QA001622,113
60QA001623,76
60QA001624,74
60QA001625,83
60QA001626,76
60QA001627,148
60QA001628,89
60QA001629,209
60QA001630,169
60QA001631,114
60QA001632,90
60QA001633,83
60QA001634,100
60QA001635,82
60QA001636,905
60QA001637,86
60QA001638,70
60QA001639,84
60QA001640,107
60QA001641,80
60QA001642,105
60QA001643,112
60QA001644,152
60QA001645,80
60QA001646,88
60QA001647,117
60QA001648,112
60QA001649,77
60QA001650,64
60QA001651,157
60QA001652,111
60QA001653,81
60QA001654,114
60QA001655,51
60QA001656,65
60QA001657,65
60QA001658,71
60QA001659,85
60QA001660,80
60QA001661,70
60QA001662,87
60QA001663,124
60QA001664,153
60QA001665,106
60QA001666,53
60QA001667,94
60QA001668,64
60QA001669,90
60QA001670,100
60QA001671,97
60QA001672,67
60QA001673,114
60QA001674,95
60QA001675,100
60QA001676,89
60QA001677,106
60QA001678,85
60QA001679,108
60QA001680,61
60QA001681,80
60QA001682,164
60QA001683,168
60QA001684,88
60QA001685,110
60QA001686,118
60QA001687,168
60QA001688,130
60QA001689,155
60QA001690,120
60QA001691,70
60QA001692,69
60QA001693,133
60QA001694,75
60QA001695,91
60QA001696,155
60QA001697,59
60QA001698,81
60QA001699,119
60QA001700,62
60QA001701,113
60QA001702,94
60QA001703,95
60QA001704,83
60QA001705,88
60QA001706,111
60QA001707,94
60QA001708,135
60QA001709,137
60QA001710,145
60QA001711,73
60QA001712,104
60QA001713,114
60QA001714,82
60QA001715,113
60QA001716,92
60QA001717,80
60QA001718,179
60QA001719,111
60QA001720,212
60QA001721,65
60QA001722,160
60QA001723,65
60QA001724,104
60QA001725,103
60QA001726,166
60QA001727,228
60QA001728,133
60QA001729,60
60QA001730,131
60QA001731,173
60QA001732,196
60QA001733,60
60QA001734,90
60QA001735,65
60QA001736,392
60QA001737,142
60QA001738,95
60QA001739,203
60QA001740,153
60QA001741,180
60QA001742,174
60QA001743,157
60QA001744,263
60QA001745,117
