"code","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"E01009317",87,112,112,104,59,69,69,69,68,75,70
"E01009318",54,58,67,59,41,67,39,36,39,39,32
"E01009319",40,54,49,50,45,36,41,32,29,39,33
"E01009320",287,274,196,228,240,271,162,141,126,143,128
"E01009321",168,182,174,179,123,139,155,105,86,96,74
"E01009322",389,364,367,336,206,259,227,166,105,102,103
"E01009323",132,155,142,159,93,86,74,56,62,55,52
"E01009324",92,110,68,73,71,69,73,56,49,47,38
"E01009325",78,114,99,68,53,69,50,48,34,47,34
"E01009326",170,150,155,125,117,126,122,106,62,68,55
"E01009327",94,76,41,61,58,55,54,43,66,55,37
"E01009328",43,53,36,32,54,39,46,30,39,36,28
"E01009329",171,181,151,147,138,161,103,112,130,118,71
"E01009331",97,110,76,100,52,60,57,57,48,58,31
"E01009332",447,472,482,564,521,472,390,285,301,365,298
"E01009333",96,97,76,79,62,81,66,58,50,60,32
"E01009391",130,92,92,80,78,86,77,76,62,58,62
"E01009334",68,66,69,59,73,70,55,43,33,51,38
"E01009335",317,228,242,265,308,271,253,191,227,276,178
"E01009437",172,164,143,113,91,96,89,74,62,67,66
"E01009337",79,46,57,51,61,69,43,52,33,65,38
"E01009338",179,138,122,103,96,134,93,97,112,92,57
"E01009339",159,157,150,125,110,124,112,91,92,86,64
"E01009340",206,153,173,125,156,112,106,106,104,112,73
"E01009341",402,269,241,252,181,213,171,143,156,195,144
"E01009342",177,120,77,96,76,101,111,81,78,66,55
"E01009343",107,132,114,97,80,94,82,81,75,74,49
"E01009344",123,129,125,116,109,91,82,82,55,66,56
"E01009345",241,205,233,273,274,214,219,177,186,252,211
"E01009346",100,119,93,98,105,81,93,97,88,127,71
"E01009347",199,161,225,150,158,149,122,98,113,135,217
"E01009348",299,265,274,261,197,186,205,135,154,177,111
"E01009349",130,136,118,117,150,98,79,89,107,100,111
"E01009350",81,75,89,54,54,54,56,35,37,39,43
"E01009351",97,79,86,80,72,81,80,76,54,70,43
"E01009352",128,84,95,85,61,72,79,60,71,58,62
"E01009353",116,96,110,79,95,71,63,55,55,66,65
"E01009354",196,176,165,181,202,130,107,139,124,152,112
"E01009355",166,149,130,128,143,119,100,80,88,152,118
"E01009358",210,211,143,151,142,196,164,113,130,129,111
"E01009359",196,150,137,156,154,157,127,107,126,126,105
"E01009360",115,125,131,153,145,124,105,95,109,148,111
"E01009361",246,172,127,127,131,113,89,97,99,141,60
